drg_cd,drg_desc,service_line
428,MULTIPLE LEVEL COMBINED ANTERIOR AND POSTERIOR SPINAL FUSION EXCEPT CERVICAL WITHOUT CC/,Orthopedics
430,COMBINED ANTERIOR AND POSTERIOR CERVICAL SPINAL FUSION WITHOUT MCC,Orthopedics
432,CIRRHOSIS AND ALCOHOLIC HEPATITIS WITH MCC,Gastroenterology
433,CIRRHOSIS AND ALCOHOLIC HEPATITIS WITH CC,Gastroenterology
435,MALIGNANCY OF HEPATOBILIARY SYSTEM OR PANCREAS WITH MCC,Gastroenterology
436,MALIGNANCY OF HEPATOBILIARY SYSTEM OR PANCREAS WITH CC,Gastroenterology
438,DISORDERS OF PANCREAS EXCEPT MALIGNANCY WITH MCC,Gastroenterology
439,DISORDERS OF PANCREAS EXCEPT MALIGNANCY WITH CC,Gastroenterology
440,DISORDERS OF PANCREAS EXCEPT MALIGNANCY WITHOUT CC/MCC,Gastroenterology
441,"DISORDERS OF LIVER EXCEPT MALIGNANCY, CIRRHOSIS OR ALCOHOLIC HEPATITIS WITH MCC",Gastroenterology
442,"DISORDERS OF LIVER EXCEPT MALIGNANCY, CIRRHOSIS OR ALCOHOLIC HEPATITIS WITH CC",Gastroenterology
444,DISORDERS OF THE BILIARY TRACT WITH MCC,Gastroenterology
445,DISORDERS OF THE BILIARY TRACT WITH CC,Gastroenterology
446,DISORDERS OF THE BILIARY TRACT WITHOUT CC/MCC,Gastroenterology
448,MULTIPLE LEVEL SPINAL FUSION EXCEPT CERVICAL WITHOUT MCC,Orthopedics
451,SINGLE LEVEL SPINAL FUSION EXCEPT CERVICAL WITHOUT MCC,Orthopedics
453,COMBINED ANTERIOR AND POSTERIOR SPINAL FUSION WITH MCC,Orthopedics
454,COMBINED ANTERIOR AND POSTERIOR SPINAL FUSION WITH CC,Orthopedics
455,COMBINED ANTERIOR AND POSTERIOR SPINAL FUSION WITHOUT CC/MCC,Orthopedics
456,"SPINAL FUSION EXCEPT CERVICAL WITH SPINAL CURVATURE, MALIGNANCY, INFECTION OR EXTENSIVE",Orthopedics
457,"SPINAL FUSION EXCEPT CERVICAL WITH SPINAL CURVATURE, MALIGNANCY, INFECTION OR EXTENSIVE",Orthopedics
